district_id,district_name
2957,عامود 938
2958,عامود 939
2959,عامود 940
2960,عامود 941
2961,عامود 942
2962,عامود 943
2963,عامود 944
2964,عامود 945
2965,عامود 946
2966,عامود 947
2967,عامود 948
2968,عامود 949
2969,عامود 950
2970,عامود 951
2971,عامود 952
2972,عامود 953
2973,عامود 954
2974,عامود 955
2975,عامود 956
2976,عامود 957
2977,عامود 958
2978,عامود 959
2979,عامود 960
2980,عامود 961
2981,عامود 962
2982,عامود 963
2983,عامود 964
2984,عامود 965
2985,عامود 966
2986,عامود 967
2987,عامود 968
2988,عامود 969
2989,عامود 970
2990,عامود 971
2991,عامود 972
2992,عامود 973
2993,عامود 974
2994,عامود 975
2995,عامود 976
2996,عامود 977
2997,عامود 978
2998,عامود 979
2999,عامود 980
3000,عامود 981
3001,عامود 982
3002,عامود 983
3003,عامود 984
3004,عامود 985
3005,عامود 986
3006,عامود 987
3007,عامود 988
3008,عامود 989
3009,عامود 990
3010,عامود 991
3011,عامود 992
3012,عامود 993
3013,عامود 994
3014,عامود 995
3015,عامود 996
3016,عامود 997
3017,عامود 998
3018,عامود 999
3019,عامود 1000
3020,عامود 1001
3021,عامود 1002
3022,عامود 1003
3023,عامود 1004
3024,عامود 1005
3025,عامود 1006
3026,عامود 1007
3027,عامود 1008
3028,عامود 1009
3029,عامود 1010
3030,عامود 1011
3031,عامود 1012
3032,عامود 1013
3033,عامود 1014
3034,عامود 1015
3035,عامود 1016
3036,عامود 1017
3037,عامود 1018
3038,عامود 1019
3039,عامود 1020
3040,عامود 1021
3041,عامود 1022
3042,عامود 1023
3043,عامود 1024
3044,عامود 1025
3045,عامود 1026
3046,عامود 1027
3047,عامود 1028
3048,عامود 1029
3049,عامود 1030
3050,عامود 1031
3051,عامود 1032
3052,عامود 1033
3053,عامود 1034
3054,عامود 1035
3055,عامود 1036
3056,عامود 1037
3057,عامود 1038
3058,عامود 1039
3059,عامود 1040
3060,عامود 1041
3061,عامود 1042
3062,عامود 1043
3063,عامود 1044
3064,عامود 1045
3065,عامود 1046
3066,عامود 1047
3067,عامود 1048
3068,عامود 1049
3069,عامود 1050
3070,عامود 1051
3071,عامود 1052
3072,عامود 1053
3073,عامود 1054
3074,عامود 1055
3075,عامود 1056
3076,عامود 1057
3077,عامود 1058
3078,عامود 1059
3079,عامود 1060
3080,عامود 1061
3081,عامود 1062
3082,عامود 1063
3083,عامود 1064
3084,عامود 1065
3085,عامود 1066
3086,عامود 1067
3087,عامود 1068
3088,عامود 1069
3089,عامود 1070
3090,عامود 1071
3091,عامود 1072
3092,عامود 1073
3093,عامود 1074
3094,عامود 1075
3095,عامود 1076
3096,عامود 1077
3097,عامود 1078
3098,عامود 1079
3099,عامود 1080
3100,عامود 1081
3101,عامود 1082
3102,عامود 1083
3103,عامود 1084
3104,عامود 1085
3105,عامود 1086
3106,عامود 1087
3107,عامود 1088
3108,عامود 1089
3109,عامود 1090
3110,عامود 1091
3111,عامود 1092
3112,عامود 1093
3113,عامود 1094
3114,عامود 1095
3115,عامود 1096
3116,عامود 1097
3117,عامود 1098
3118,عامود 1099
3119,عامود 1100
3120,عامود 1101
3121,عامود 1102
3122,عامود 1103
3123,عامود 1104
3124,عامود 1105
3125,عامود 1106
3126,عامود 1107
3127,عامود 1108
3128,عامود 1109
3129,عامود 1110
3130,عامود 1111
3131,عامود 1112
3132,عامود 1113
3133,عامود 1114
3134,عامود 1115
3135,عامود 1116
3136,عامود 1117
3137,عامود 1118
3138,عامود 1119
3139,عامود 1120
3140,عامود 1121
3141,عامود 1122
3142,عامود 1123
3143,عامود 1124
3144,عامود 1125
3145,عامود 1126
3146,عامود 1127
3147,عامود 1128
3148,عامود 1129
3149,عامود 1130
3150,عامود 1131
3151,عامود 1132
3152,عامود 1133
3153,عامود 1134
3154,عامود 1135
3155,عامود 1136
3156,عامود 1137
3157,عامود 1138
3158,عامود 1139
3159,عامود 1140
3160,عامود 1141
3161,عامود 1142
3162,عامود 1143
3163,عامود 1144
3164,عامود 1145
3165,عامود 1146
3166,عامود 1147
3167,عامود 1148
3168,عامود 1149
3169,عامود 1150
3170,عامود 1151
3171,عامود 1152
3172,عامود 1153
3173,عامود 1154
3174,عامود 1155
3175,عامود 1156
3176,عامود 1157
3177,عامود 1158
3178,عامود 1159
3179,عامود 1160
3180,عامود 1161
3181,عامود 1162
3182,عامود 1163
3183,عامود 1164
3184,عامود 1165
3185,عامود 1166
3186,عامود 1167
3187,عامود 1168
3188,عامود 1169
3189,عامود 1170
3190,عامود 1171
3191,عامود 1172
3192,عامود 1173
3193,عامود 1174
3194,عامود 1175
3195,عامود 1176
3196,عامود 1177
3197,عامود 1178
3198,عامود 1179
3199,عامود 1180
3200,عامود 1181
3201,عامود 1182
3202,عامود 1183
3203,عامود 1184
3204,عامود 1185
3205,عامود 1186
3206,عامود 1187
3207,عامود 1188
3208,عامود 1189
3209,عامود 1190
3210,عامود 1191
3211,عامود 1192
3212,عامود 1193
3213,عامود 1194
3214,عامود 1195
3215,عامود 1196
3216,عامود 1197
3217,عامود 1198
3218,عامود 1199
3219,عامود 1200
3220,عامود 1201
3221,عامود 1202
3222,عامود 1203
3223,عامود 1204
3224,عامود 1205
3225,عامود 1206
3226,عامود 1207
3227,عامود 1208
3228,عامود 1209
3229,عامود 1210
3230,عامود 1211
3231,عامود 1212
3232,عامود 1213
3233,عامود 1214
3234,عامود 1215
3235,عامود 1216
3236,عامود 1217
3237,عامود 1218
3238,عامود 1219
3239,عامود 1220
3240,عامود 1221
3241,عامود 1222
3242,عامود 1223
3243,عامود 1224
3244,عامود 1225
3245,عامود 1226
3246,عامود 1227
3247,عامود 1228
3248,عامود 1229
3249,عامود 1230
3250,عامود 1231
3251,عامود 1232
3252,عامود 1233
3253,عامود 1234
3254,عامود 1235
3255,عامود 1236
3256,عامود 1237
3257,عامود 1238
3258,عامود 1239
3259,عامود 1240
3260,عامود 1241
3261,عامود 1242
3262,عامود 1243
3263,عامود 1244
3264,عامود 1245
3265,عامود 1246
3266,عامود 1247
3267,عامود 1248
3268,عامود 1249
3269,عامود 1250
3270,عامود 1251
3271,عامود 1252
3272,عامود 1253
3273,عامود 1254
3274,عامود 1255
3275,عامود 1256
3276,عامود 1257
3277,عامود 1258
3278,عامود 1259
3279,عامود 1260
3280,عامود 1261
3281,عامود 1262
3282,عامود 1263
3283,عامود 1264
3284,عامود 1265
3285,عامود 1266
3286,عامود 1267
3287,عامود 1268
3288,عامود 1269
3289,عامود 1270
3290,عامود 1271
3291,عامود 1272
3292,عامود 1273
3293,عامود 1274
3294,عامود 1275
3295,عامود 1276
3296,عامود 1277
3297,عامود 1278
